id|cognome|nome|datanasc|comunasc|sesso
3365|Calistroni|Basilio|1978-03-12|56059|M
2608|Callara|Raimondo|1954-07-07|60014|M
1675|Callera|Reginaldo|1933-10-27|70022|M
960|Calliera|Remo|1962-11-07|70022|M
626|Callioni|Benedetto|1964-06-09|58091|M
1988|Callochira|Renato|1938-01-25|58091|M
1986|Calloni|Beniamino|1971-09-23|58116|M
2145|Callura|Renzo|1963-03-14|56050|M
1796|Calochira|Riccardo|1973-08-09|60038|M
3063|Caloni|Bernardino|1956-09-06|60074|M
2373|Calora|Rinaldo|1957-02-10|56052|M
2888|Caloyera|Rino|1964-08-26|56057|M
608|Calsavara|Roberto|1964-05-24|58091|M
1170|Caltroni|Bertrando|1969-01-09|58091|M
1499|Calvara|Rocco|1940-10-13|58091|M
716|Calveira|Rodolfo|1967-03-06|58091|M
78|Calvigioni|Bruno|1937-12-10|58091|M
2125|Calzanegra|Rodrigo|1965-04-17|58091|M
1037|Calzaroni|Camillo|1957-08-31|60074|M
642|Calzavara|Romolo|1966-05-16|58091|M
1226|Calzeroni|Carlo|1956-06-06|58091|M
4239|Calzoni|Carmelo|1972-12-21|58034|M
1659|Colaboni|Celestino|1967-06-10|58091|M
607|Colanera|Rosario|1969-02-06|58091|M
4082|Colantoni|Ciro|1975-04-02|58091|M
3621|Colantuoni|Claudio|1956-10-01|60006|M
2575|Colaoni|Corrado|1959-01-25|69088|M
452|Colapicchioni|Cosimo|1974-12-13|56036|M
604|Colapietra|Rossano|1956-09-27|58091|M
641|Colcera|Tano|1974-08-21|58091|M
1154|Colistra|Tiziano|1972-02-24|58091|M
2374|Collacchioni|Costantino|1971-01-12|56036|M
1956|Collantoni|Costanzo|1960-02-25|58091|M
583|Collaoni|Cristiano|1946-01-02|58091|M
2489|Collara|Tommaso|1939-10-12|58091|M
2814|Collazzoni|Cristoforo|1979-11-06|56050|M
699|Colleoni|Damiano|1979-11-06|56050|M
3773|Collironi|Danilo|1969-07-18|58091|M
4261|Collura|Tullio|1970-11-04|57012|M
4064|Coloccioni|Dario|1952-08-05|60038|M
4113|Coloiera|Valentino|1980-04-19|58072|M
2524|Colombaioni|Delfino|1973-11-12|58091|M
597|Colombara|Valerio|1955-11-18|58091|M
3169|Colombaroni|Diego|1972-09-12|58091|M
595|Colombera|Vasco|1961-01-17|58091|M
2994|Colomboni|Dionisio|1941-09-06|58091|M
1363|Coltra|Vincenzo|1947-10-09|60038|M
4011|Colvara|Virgilio|1976-11-06|56024|M
3841|Colzera|Vito|1982-05-09|75029|M
977|Devilloni|Domenico|1943-02-05|58038|M
21|Devora|Vittorio|1941-04-25|56035|P
3480|Erbizzoni|Donatello|1948-05-06|57059|M
1329|Erboni|Donato|1973-08-29|58091|M
4276|Ercolanoni|Doriano|1944-01-23|56059|M
3355|Erconi|Duccio|1963-09-25|58091|M
349|Erdoni|Duilio|1940-05-24|54021|M
3183|Erebara|Achille|1961-10-05|60014|M
3010|Erigoni|Edmondo|1945-12-07|50008|M
3056|Ermacora|Amilcare|1961-10-05|60014|M
408|Ermagora|Annibale|1960-12-15|58091|M
3481|Ermoni|Edoardo|1959-02-17|58091|M
3661|Ermorra|Aronne|1977-11-09|58091|M
625|Ernoni|Eduardo|1935-10-28|57010|M
267|Eroni|Egidio|1955-09-27|58091|M
1508|Errera|Carmine|1975-10-01|54018|M
3086|Ervoni|Elio|1966-02-05|56021|M
2143|Filacchioni|Eliseo|1974-06-08|60074|M
1119|Filattiera|Cesare|1971-10-01|58091|M
3254|Filemoni|Emiliano|1971-02-14|60038|M
1873|Filgoni|Emilio|1962-07-19|60087|M
3288|Filighera|Clemente|1969-04-20|56059|M
2601|Filigura|Daniele|1960-02-10|54009|M
2555|Filioni|Ennio|1956-12-14|58091|M
1520|Filipponi|Enrico|1958-03-07|60003|M
2832|Filira|Dante|1969-04-26|57059|M
3286|Giraldoni|Enzo|1959-03-07|60003|M
3660|Giriboni|Eraldo|1951-09-13|58091|M
3666|Girodoni|Erasmo|1963-08-30|60033|M
1394|Girolimoni|Ermanno|1958-02-10|57059|M
474|Girolomoni|Ernesto|1969-09-26|60003|M
2666|Gironi|Eugenio|1965-01-06|60006|M
2505|Larcara|Davide|1952-09-24|58091|M
1674|Lardara|Ettore|1950-04-03|88012|M
4125|Lardera|Fedele|1976-09-22|58091|M
593|Lardoni|Ezio|1961-01-22|58091|M
2164|Largoni|Fabio|1964-10-18|60085|M
1653|Larivera|Felice|1952-05-28|56002|M
3588|Mira|Gabriele|1964-02-02|60005|M
1795|Mirioni|Fabrizio|1964-10-18|60085|M
338|Mironi|Fausto|1968-04-02|58091|M
1690|Mirra|Gaspare|1963-02-28|57035|M
2543|Mirtoni|Federico|1970-01-19|58091|M
3769|Nara|Gastone|1976-08-07|56059|M
622|Narboni|Ferdinando|1943-08-27|95002|M
2994|Narboni|Piera|1941-09-06|58091|F
610|Nardoni|Fernando|1971-04-15|58091|M
3169|Nardoni|Palmira|1972-09-12|58091|F
2524|Narisoni|Nera|1973-11-12|58091|F
3788|Narisoni|Ferrando|1947-12-20|61093|M
3803|Para|Giacobbe|1972-09-30|58091|M
4064|Para|Mara|1952-08-05|60038|F
611|Paraboni|Ferruccio|1945-03-28|85004|M
3773|Paraboni|Libera|1969-07-18|58091|F
699|Parassoni|Laura|1979-11-06|56050|F
1950|Parassoni|Filiberto|1956-07-10|57033|M
1352|Parboni|Filippo|1973-05-17|58091|M
2814|Parboni|Lara|1979-11-06|56050|F
583|Parbuoni|Ginevra|1946-01-02|58091|F
660|Parbuoni|Fiorenzo|1965-03-21|58091|M
1956|Pardera|Flora|1960-02-25|58091|F
3333|Pardera|Giuseppe|1955-10-29|58032|M
623|Pardoni|Fortunato|1958-04-28|77014|M
2374|Pardoni|Elvira|1971-01-12|56036|F
452|Parentera|Elettra|1974-12-13|56036|F
3096|Parentera|Manuele|1969-08-21|56001|M
1207|Pariboni|Fosco|1951-12-03|56057|M
2575|Pariboni|Eleonora|1959-01-25|69088|F
3391|Parlatoni|Francesco|1959-01-28|56047|M
3621|Parlatoni|Dora|1956-10-01|60006|F
1471|Parnigoni|Franco|1958-01-26|58091|M
4082|Parnigoni|Debora|1975-04-02|58091|F
1659|Paroni|Chiara|1967-06-10|58091|F
2491|Paroni|Fulvio|1963-06-09|58091|M
2853|Parora|Natale|1948-03-05|56001|M
4239|Parora|Cesira|1972-12-21|58034|F
1226|Parpaglioni|Calogera|1956-06-06|58091|F
2627|Parpaglioni|Gaetano|1965-12-24|56059|M
1037|Parroni|Barbara|1957-08-31|60074|F
3772|Parroni|Gennaro|1965-11-19|58091|M
78|Partigianoni|Ambra|1937-12-10|58091|F
3440|Partigianoni|Gerolamo|1972-04-26|58091|M
1170|Partilora|Allegra|1969-01-09|58091|F
3095|Partilora|Raffaele|1948-03-05|56001|M
659|Raschioni|Geronimo|1944-02-28|66057|M
3063|Raschioni|Alessandra|1956-09-06|60074|F
1366|Rascioni|Gherardo|1984-04-30|58091|M
1986|Rascioni|Violetta|1971-09-23|58116|F
626|Rasconi|Roberta|1964-06-09|58091|F
2278|Rasconi|Giacinto|1958-10-21|56039|M
3365|Rasera|Rita|1978-03-12|56059|F
2837|Rasinterra|Renata|1960-01-25|58091|F
294|Rasoira|Nicoletta|1966-05-21|58091|F
2453|Rasponi|Marta|1948-04-25|41059|F
3337|Rasponi|Giacomo|1978-08-26|56059|M
2993|Tira|Margherita|1959-07-26|58091|F
394|Tiranzoni|Loretta|1964-02-09|60006|F
1466|Tiranzoni|Gino|1960-03-09|56059|M
1203|Tiratterra|Immacolata|1954-01-02|57059|F
92|Tirinzoni|Giulietta|1960-06-03|56035|F
612|Tirinzoni|Gioacchino|1946-03-06|58091|M
3964|Tirittera|Giuditta|1945-12-05|56057|F
739|Tirloni|Giordano|1965-06-14|58091|M
3134|Tirloni|Gilberta|1957-08-04|56057|F
1874|Tironi|Giacinta|1963-06-13|60087|F
3653|Tironi|Giorgio|1935-03-30|58065|M
1811|Tirroni|Fiammetta|1951-03-04|60002|F
3273|Tirroni|Girolamo|1968-05-12|56059|M
617|Verbora|Felicita|1956-08-31|58091|F
513|Vercelloni|Enrichetta|1949-02-14|56059|F
1657|Vercelloni|Giuliano|1950-08-29|83099|M
613|Verettoni|Giulio|1954-11-24|58091|M
4218|Verettoni|Elisabetta|1979-02-24|56059|F
2232|Vergura|Diletta|1958-03-08|58091|F
2003|Vernaccioni|Giustino|1957-08-14|58091|M
2884|Vernaccioni|Cosetta|1949-03-25|56059|F
438|Vernesoni|Goffredo|1972-10-26|58091|M
1064|Vernesoni|Consolata|1975-09-07|58091|F
2052|Vernoni|Gregorio|1964-10-20|58091|M
2132|Vernoni|Concetta|1961-02-03|58091|F
2595|Veroni|Gualtiero|1964-03-28|58091|M
3571|Veroni|Carlotta|1935-07-16|56016|F
3369|Verquera|Brigitta|1976-01-30|56059|F
2620|Verra|Berta|1935-07-16|56016|F
614|Verselloni|Guglielmo|1966-08-28|58091|M
680|Verselloni|Benedetta|1966-01-05|58091|F
2205|Versiglioni|Guido|1954-12-26|94003|M
2327|Versiglioni|Assunta|1972-07-30|58091|F
621|Vertemara|Antonietta|1974-07-19|58091|F
1192|Verzara|Annunziata|1947-05-05|56021|F
619|Verzelloni|Annunciata|1965-05-22|58091|F
1337|Verzelloni|Gustavo|1964-10-21|58091|M
2484|Verzera|Amata|1956-03-01|58091|F
1628|Verziera|Agata|1967-12-03|56021|F
833|Verzoni|Addolorata|1973-08-25|58091|F
3744|Verzoni|Ignazio|1972-06-07|56052|M
